"date","awnd"
2020-09-17,8.28
2020-09-21,7.16
2020-09-27,2.01
2020-10-01,3.8
2020-10-02,5.37
2020-10-05,2.91
2020-10-06,2.46
2020-10-11,8.28
2020-10-12,2.91
2020-10-14,2.24
2020-10-16,7.83
2020-10-18,2.24
2020-10-22,2.68
2020-10-26,2.68
2020-10-27,2.01
2020-10-29,17.0
2020-11-06,2.01
2020-11-07,2.01
2020-11-13,3.58
2020-11-21,0.89
2020-11-24,1.34
2020-12-01,8.95
2020-12-04,8.95
2020-12-05,7.61
2020-12-07,4.92
2020-12-14,5.82
2020-12-16,7.38
2020-12-17,3.8
2020-12-18,2.91
2020-12-19,2.91
2020-12-26,4.92
2021-01-03,3.13
2021-01-11,1.57
2021-01-14,4.7
2021-01-18,5.37
2021-01-21,3.58
2021-01-22,3.58
2021-01-28,8.72
2021-01-29,4.03
2021-02-09,2.01
2021-02-10,6.71
2021-02-16,9.4
2021-02-24,7.38
2021-03-03,1.34
2021-03-11,11.41
2021-03-13,2.46
2021-03-19,11.18
2021-04-01,8.95
2021-04-05,2.91
2021-04-08,5.37
2021-04-11,9.84
2021-04-15,5.14
2021-04-24,6.26
2021-04-27,10.96
2021-04-28,11.41
2021-05-06,4.25
2021-05-09,13.87
2021-05-19,2.01
2021-05-22,3.13
2021-05-26,6.04
2021-05-28,9.17
2021-06-01,3.8
2021-06-02,5.14
2021-06-05,2.68
2021-06-10,5.82
2021-06-11,6.49
2021-06-20,6.49
2021-06-22,8.5
2021-07-01,13.65
2021-07-02,5.59
2021-07-07,8.72
2021-07-11,6.71
2021-07-17,9.62
2021-07-31,5.82
2021-08-05,4.47
2021-08-07,2.24
2021-08-21,2.91
2021-08-22,2.68
2021-09-06,5.14
2021-09-21,7.61
2021-09-24,3.36
2021-09-27,3.58
2021-10-02,5.59
2021-10-06,6.26
2021-10-08,6.26
2021-10-19,2.24
2021-10-21,8.28
2021-10-30,7.16
2021-11-08,2.68
2021-11-09,2.91
2021-11-14,3.13
2021-11-16,3.36
2021-11-18,9.84
2021-11-20,2.68
2021-11-25,6.49
2021-11-27,3.58
2021-12-03,3.8
2021-12-05,5.37
2021-12-09,3.36
2021-12-16,5.82
2021-12-19,7.83
2021-12-24,11.63
2021-12-27,3.13
2021-12-29,11.86
2022-01-01,14.3
2022-01-09,9.2
2022-01-21,10.7
2022-01-22,3.8
2022-01-27,2.7
2022-02-09,3.6
2022-02-19,5.6
2022-02-21,3.6
2022-02-28,4.5
2022-03-01,4.0
2022-03-03,7.4
2022-03-07,18.3
2022-03-11,3.4
2022-03-19,16.1
2022-03-17,5.1
2022-03-26,8.1
2022-03-30,8.1
2022-04-04,6.3
2022-04-05,8.5
2022-04-18,8.5
2022-04-21,4.9
2022-04-22,4.5
2022-04-26,8.7
2022-04-27,5.4
2022-05-07,8.7
2022-05-21,7.6
2022-05-22,8.9
2017-01-02,5.59
2017-01-05,2.01
2017-01-06,6.04
2017-01-14,6.71
2017-01-22,5.82
2017-02-02,2.24
2017-02-03,4.7
2017-02-04,4.7
2017-02-05,4.92
2017-02-11,12.3
2017-02-14,4.7
2017-02-22,3.8
2017-02-27,5.37
2017-03-01,17.22
2017-03-05,6.26
2017-03-12,4.92
2017-03-16,6.04
2017-03-18,7.83
2017-03-24,9.62
2017-03-25,10.74
2017-03-29,4.92
2017-04-04,12.97
2017-04-10,9.62
2017-04-13,8.05
2017-04-14,4.47
2017-04-24,10.96
2017-05-02,11.41
2017-05-07,5.82
2017-05-08,4.7
2017-05-10,3.8
2017-05-15,4.7
2017-05-24,5.82
2017-05-25,11.41
2017-05-28,6.71
2017-06-10,6.04
2017-06-20,4.47
2017-06-21,6.71
2017-06-30,7.83
2017-07-06,5.82
2017-07-08,6.49
2017-07-10,4.47
2017-07-12,8.72
2017-07-17,4.47
2017-07-25,4.7
2017-07-26,5.82
2017-07-29,8.5
2017-08-01,2.91
2017-08-06,7.61
2017-08-09,6.71
2017-08-11,4.25
2017-08-14,3.8
2017-08-15,2.91
2017-08-23,5.82
2017-08-24,6.04
2017-08-26,8.05
2017-08-28,11.41
2017-09-02,6.26
2017-09-08,2.68
2017-09-09,7.38
2017-09-18,6.71
2017-09-20,3.58
2017-10-03,6.26
2017-10-15,9.84
2017-10-24,6.49
2017-10-25,3.8
2017-10-28,4.92
2017-11-02,2.01
2017-11-04,8.28
2017-11-06,4.7
2017-11-10,6.71
2017-11-13,4.25
2017-11-14,8.72
2017-11-22,4.7
2017-11-29,2.46
2017-11-30,1.12
2017-12-07,2.46
2017-12-15,5.14
2017-12-22,3.58
2017-12-23,12.08
2018-01-02,2.91
2018-01-04,9.62
2018-01-06,4.03
2018-01-09,2.68
2018-01-10,4.92
2018-01-21,1.12
2018-01-30,6.93
2018-01-31,5.82
2018-02-03,5.14
2018-02-08,3.36
2018-02-09,4.03
2018-02-12,9.84
2018-02-22,9.84
2018-02-25,11.18
2018-02-28,4.92
2018-03-14,7.61
